"id","animal_id","breed_id","percentage"
"2843574","62148546","953217","50.0"
"2843577","62148558","953217","50.0"
"2843580","62158695","953217","100.0"
"2851590","62202498","953217","100.0"
"2851620","62218500","953217","50.0"
"2851623","62218686","953202","50.0"
"2852217","62240238","953217","100.0"
"2852232","62241069","953217","100.0"
"2855181","62285220","953217","100.0"
"2855184","62285241","953217","50.0"
"2856045","62361207","953217","50.0"
"2856048","62361204","953217","50.0"
"2856051","62361213","953217","50.0"
"2856054","62361216","953217","100.0"
"2856057","62361225","953217","50.0"
"2856060","62361228","953217","50.0"
"2869383","62806815","953217","100.0"
"2932622","63365447","953217","100.0"
"2932625","63365456","953217","50.0"
"2946578","63415760","953217","100.0"
"2946581","63415769","953217","100.0"
"2946584","63415772","953217","100.0"
"2946587","63415787","953217","50.0"
"2946590","63415805","953217","50.0"
"2946593","63415805","953208","50.0"
"2946596","63415814","953217","100.0"
"2946599","63415817","953217","50.0"
"2946602","63415820","953217","100.0"
"2946605","63415826","953208","50.0"
"2946608","63415826","953217","50.0"
"2946611","63415850","953217","50.0"
"2946614","63415859","953217","50.0"
"2946617","63415865","953217","100.0"
"2946620","63415898","953217","50.0"
"2946623","63415904","953217","50.0"
"2946626","63415910","953217","50.0"
"2946629","63415913","953217","100.0"
"2946632","63415916","953217","100.0"
"2946635","63415919","953217","50.0"
"2946638","63415922","953217","50.0"
"2946641","63415928","953217","50.0"
"2946644","63415934","953217","50.0"
"2946647","63415940","953217","50.0"
"2946650","63415946","953217","50.0"
"2946653","63415949","953217","100.0"
"2946656","63415952","953208","50.0"
"2946659","63415952","953217","50.0"
